"Block"	"Trial"	"FaceFilename"	"WordFilename"	"FaceRace"	"Fix"	"WordValence"	"Condition"	"RT"	"Key"	"Error"	"Subno"	"Congruent"
2	13	"C:\Hannah's FYP\Black19_neu.jpg"	"cockroach"	"Black"	"nose"	"Neg"	131	888	1	0	2	"Con"
2	14	"C:\Hannah's FYP\Black15_neu.jpg"	"vacation"	"Black"	"eyes"	"Pos"	122	813	2	0	2	"Incon"
2	15	"C:\Hannah's FYP\White3_neu.jpg"	"success"	"White"	"forehead"	"Pos"	212	764	2	0	2	"Con"
2	16	"C:\Hannah's FYP\Black8_neu.jpg"	"beauty"	"Black"	"forehead"	"Pos"	112	628	2	0	2	"Incon"
2	17	"C:\Hannah's FYP\Black24_neu.jpg"	"cockroach"	"Black"	"nose"	"Neg"	131	497	1	0	2	"Con"
2	18	"C:\Hannah's FYP\Black12_neu.jpg"	"garbage"	"Black"	"eyes"	"Neg"	121	462	1	0	2	"Con"
2	19	"C:\Hannah's FYP\Black22_neu.jpg"	"garbage"	"Black"	"nose"	"Neg"	131	242	1	0	2	"Con"
2	20	"C:\Hannah's FYP\Black4_neu.jpg"	"vacation"	"Black"	"forehead"	"Pos"	112	530	2	0	2	"Incon"
2	21	"C:\Hannah's FYP\Black8_neu.jpg"	"smile"	"Black"	"forehead"	"Pos"	112	468	2	0	2	"Incon"
2	22	"C:\Hannah's FYP\Black6_neu.jpg"	"vacation"	"Black"	"forehead"	"Pos"	112	530	1	1	2	"Incon"
2	23	"C:\Hannah's FYP\White3_neu.jpg"	"paradise"	"White"	"forehead"	"Pos"	212	294	2	0	2	"Con"
2	24	"C:\Hannah's FYP\Black3_neu.jpg"	"love"	"Black"	"forehead"	"Pos"	112	426	2	0	2	"Incon"
2	25	"C:\Hannah's FYP\White16_neu.jpg"	"romance"	"White"	"eyes"	"Pos"	222	530	2	0	2	"Con"
2	26	"C:\Hannah's FYP\Black9_neu.jpg"	"despair"	"Black"	"eyes"	"Neg"	121	197	2	1	2	"Con"
2	27	"C:\Hannah's FYP\White14_neu.jpg"	"vacation"	"White"	"eyes"	"Pos"	222	316	1	1	2	"Con"
2	28	"C:\Hannah's FYP\Black21_neu.jpg"	"romance"	"Black"	"nose"	"Pos"	132	397	2	0	2	"Incon"
2	29	"C:\Hannah's FYP\Black19_neu.jpg"	"pest"	"Black"	"nose"	"Neg"	131	454	2	1	2	"Con"
2	30	"C:\Hannah's FYP\Black21_neu.jpg"	"sewage"	"Black"	"nose"	"Neg"	131	970	1	0	2	"Con"
2	31	"C:\Hannah's FYP\White5_neu.jpg"	"beauty"	"White"	"forehead"	"Pos"	212	483	2	0	2	"Con"
2	32	"C:\Hannah's FYP\Black18_neu.jpg"	"vomit"	"Black"	"nose"	"Neg"	131	760	1	0	2	"Con"
2	33	"C:\Hannah's FYP\Black17_neu.jpg"	"disgust"	"Black"	"nose"	"Neg"	131	608	1	0	2	"Con"
2	34	"C:\Hannah's FYP\Black18_neu.jpg"	"garbage"	"Black"	"nose"	"Neg"	131	664	1	0	2	"Con"
2	35	"C:\Hannah's FYP\White11_neu.jpg"	"vomit"	"White"	"eyes"	"Neg"	221	325	2	1	2	"Incon"
2	36	"C:\Hannah's FYP\White14_neu.jpg"	"pest"	"White"	"eyes"	"Neg"	221	566	1	0	2	"Incon"
2	37	"C:\Hannah's FYP\White7_neu.jpg"	"joy"	"White"	"forehead"	"Pos"	212	560	2	0	2	"Con"
2	38	"C:\Hannah's FYP\Black6_neu.jpg"	"vomit"	"Black"	"forehead"	"Neg"	111	467	1	0	2	"Con"
